Image,Roughness,Contrast,Entropy,Homogeneity,Energy,Correlation
9_1011.jpg,9,792.7950205725546,792.7950205725546,0.07626987999535798,0.009755517148863411,0.8902696343356433
9_1012.jpg,9,704.3019268660177,704.3019268660177,0.09456953477069334,0.011223850926318339,0.9069977259120491
9_1013.jpg,9,704.3019268660177,704.3019268660177,0.09456953477069334,0.011223850926318339,0.9069977259120491
9_1014.jpg,9,722.2196612772369,722.2196612772369,0.09404619384318331,0.011409631694925058,0.9037364064071429
9_1015.jpg,9,722.2196612772369,722.2196612772369,0.09404619384318331,0.011409631694925058,0.9037364064071429
9_1016.jpg,9,680.1304980876217,680.1304980876217,0.09731632437472708,0.011637936625324955,0.9124140733994172
9_1017.jpg,9,680.1304980876217,680.1304980876217,0.09731632437472708,0.011637936625324955,0.9124140733994172
9_1018.jpg,9,725.1922602501737,725.1922602501737,0.09052029164047509,0.010815608897308432,0.9038556918727016
9_1019.jpg,9,792.7950205725546,792.7950205725546,0.07626987999535798,0.009755517148863411,0.8902696343356433
9_1020.jpg,9,792.7950205725546,792.7950205725546,0.07626987999535798,0.009755517148863411,0.8902696343356433
9_1021.jpg,9,704.3019268660177,704.3019268660177,0.09456953477069334,0.011223850926318339,0.9069977259120491
9_1022.jpg,9,704.3019268660177,704.3019268660177,0.09456953477069334,0.011223850926318339,0.9069977259120491
9_1023.jpg,9,722.2196612772369,722.2196612772369,0.09404619384318331,0.011409631694925058,0.9037364064071429
9_1024.jpg,9,722.2196612772369,722.2196612772369,0.09404619384318331,0.011409631694925058,0.9037364064071429
9_1025.jpg,9,680.1304980876217,680.1304980876217,0.09731632437472708,0.011637936625324955,0.9124140733994172
9_1026.jpg,9,680.1304980876217,680.1304980876217,0.09731632437472708,0.011637936625324955,0.9124140733994172
9_1027.jpg,9,725.1922602501737,725.1922602501737,0.09052029164047509,0.010815608897308432,0.9038556918727016
9_1028.jpg,9,792.7950205725546,792.7950205725546,0.07626987999535798,0.009755517148863411,0.8902696343356433
9_1029.jpg,9,792.7950205725546,792.7950205725546,0.07626987999535798,0.009755517148863411,0.8902696343356433
9_1030.jpg,9,704.3019268660177,704.3019268660177,0.09456953477069334,0.011223850926318339,0.9069977259120491
9_1031.jpg,9,704.3019268660177,704.3019268660177,0.09456953477069334,0.011223850926318339,0.9069977259120491
9_1032.jpg,9,722.2196612772369,722.2196612772369,0.09404619384318331,0.011409631694925058,0.9037364064071429
9_1033.jpg,9,722.2196612772369,722.2196612772369,0.09404619384318331,0.011409631694925058,0.9037364064071429
9_1034.jpg,9,680.1304980876217,680.1304980876217,0.09731632437472708,0.011637936625324955,0.9124140733994172
9_1035.jpg,9,680.1304980876217,680.1304980876217,0.09731632437472708,0.011637936625324955,0.9124140733994172
9_1036.jpg,9,1678.557901557244,1678.557901557244,0.03921994492603413,0.00811181948899637,0.6474675836018924
9_1037.jpg,9,2706.2128546358585,2706.2128546358585,0.031125688691177822,0.007349598666381371,0.44051314317860607
9_1038.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1039.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1040.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
9_1041.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
9_1042.jpg,9,1553.1203366607947,1553.1203366607947,0.04657630670029087,0.012366435603783267,0.38359897175892876
9_1043.jpg,9,1553.1203366607947,1553.1203366607947,0.04657630670029087,0.012366435603783267,0.38359897175892876
9_1044.jpg,9,3165.2247635760946,3165.2247635760946,0.026175282100584795,0.006539773961277083,0.3620659062537024
9_1045.jpg,9,3165.2247635760946,3165.2247635760946,0.026175282100584795,0.006539773961277083,0.3620659062537024
9_1046.jpg,9,2706.2128546358585,2706.2128546358585,0.031125688691177822,0.007349598666381371,0.44051314317860607
9_1047.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1048.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1049.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
9_1050.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
9_1051.jpg,9,1553.1203366607947,1553.1203366607947,0.04657630670029087,0.012366435603783267,0.38359897175892876
9_1052.jpg,9,1553.1203366607947,1553.1203366607947,0.04657630670029087,0.012366435603783267,0.38359897175892876
9_1053.jpg,9,3165.2247635760946,3165.2247635760946,0.026175282100584795,0.006539773961277083,0.3620659062537024
9_1054.jpg,9,3165.2247635760946,3165.2247635760946,0.026175282100584795,0.006539773961277083,0.3620659062537024
9_1055.jpg,9,2706.2128546358585,2706.2128546358585,0.031125688691177822,0.007349598666381371,0.44051314317860607
9_1056.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1057.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1058.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
9_1059.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
9_1060.jpg,9,1553.1203366607947,1553.1203366607947,0.04657630670029087,0.012366435603783267,0.38359897175892876
9_1061.jpg,9,1553.1203366607947,1553.1203366607947,0.04657630670029087,0.012366435603783267,0.38359897175892876
9_1062.jpg,9,3165.2247635760946,3165.2247635760946,0.026175282100584795,0.006539773961277083,0.3620659062537024
9_1063.jpg,9,3165.2247635760946,3165.2247635760946,0.026175282100584795,0.006539773961277083,0.3620659062537024
9_1064.jpg,9,2706.2128546358585,2706.2128546358585,0.031125688691177822,0.007349598666381371,0.44051314317860607
9_1065.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1066.jpg,9,2379.58630847524,2379.58630847524,0.03092421424771612,0.00847754203547256,0.36132629834615754
9_1067.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
9_1068.jpg,9,3693.995300770206,3693.995300770206,0.019988929578284555,0.006088839085007326,0.25018907381112343
